형태소,품사,분류,카운트
-_-,Punctuation,패왕별희,1
-_-!,Punctuation,말할 수 없는 비밀,1
-_-!!!,Punctuation,말할 수 없는 비밀,1
-_-),Punctuation,말할 수 없는 비밀,2
-_-*,Punctuation,말할 수 없는 비밀,1
-_-+,Punctuation,말할 수 없는 비밀,1
-_-..,Punctuation,말할 수 없는 비밀,4
-_-........,Punctuation,말할 수 없는 비밀,1
-_-;,Punctuation,말할 수 없는 비밀,13
-_-;;,Punctuation,나의 소녀시대,1
-_-;;,Punctuation,말할 수 없는 비밀,11
-_-?,Punctuation,말할 수 없는 비밀,3
-~!!,Punctuation,말할 수 없는 비밀,1
.,Foreign,말할 수 없는 비밀,2
.,Punctuation,5일의마중,570
.,Punctuation,그시절 우리가 좋아했던 소녀,2883
.,Punctuation,나의 소녀시대,1540
.,Punctuation,말할 수 없는 비밀,8028
.,Punctuation,시절인연,150
.,Punctuation,청설,917
.,Punctuation,패왕별희,1479
.!,Punctuation,그시절 우리가 좋아했던 소녀,4
.!,Punctuation,나의 소녀시대,2
.!,Punctuation,말할 수 없는 비밀,23
.!,Punctuation,청설,1
.!!,Punctuation,그시절 우리가 좋아했던 소녀,3
.!!,Punctuation,나의 소녀시대,1
.!!,Punctuation,말할 수 없는 비밀,18
.!!,Punctuation,청설,2
.!!!,Punctuation,말할 수 없는 비밀,4
.!!!,Punctuation,청설,1
.!!!!,Punctuation,그시절 우리가 좋아했던 소녀,1
.!!!!,Punctuation,말할 수 없는 비밀,3
.!!!!!,Punctuation,말할 수 없는 비밀,2
.!!!!!!!!,Punctuation,말할 수 없는 비밀,1
.!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
.!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,2
.!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
.!!!@!,Punctuation,말할 수 없는 비밀,1
.!!!^,Punctuation,말할 수 없는 비밀,1
".""",Punctuation,그시절 우리가 좋아했던 소녀,3
".""",Punctuation,나의 소녀시대,2
".""",Punctuation,말할 수 없는 비밀,1
.',Punctuation,그시절 우리가 좋아했던 소녀,6
.',Punctuation,말할 수 없는 비밀,2
